% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.,,,,,,
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive ,,,,,
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.,,,,,
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.,,,,
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0016723,"oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor",0.01%,-3.048,0.917,0.259,"oxidoreductase activity, acting on NAD(P)H"
GO:0008106,alcohol dehydrogenase (NADP+) activity,0.01%,-2.3718,0.91,0.545,"oxidoreductase activity, acting on NAD(P)H"
GO:0016627,"oxidoreductase activity, acting on the CH-CH group of donors",0.98%,-4.5467,0.888,0.379,"oxidoreductase activity, acting on NAD(P)H"
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",1.45%,-2.3799,0.879,0.405,"oxidoreductase activity, acting on NAD(P)H"
GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",0.40%,-4.757,0.891,0.346,"oxidoreductase activity, acting on NAD(P)H"
GO:0003995,acyl-CoA dehydrogenase activity,0.30%,-4.2636,0.894,0.337,"oxidoreductase activity, acting on NAD(P)H"
GO:0016903,"oxidoreductase activity, acting on the aldehyde or oxo group of donors",0.63%,-4.9281,0.892,0.362,"oxidoreductase activity, acting on NAD(P)H"
GO:0008430,selenium binding,0.01%,-2.4491,0.956,0.04,selenium binding
GO:0016853,isomerase activity,2.69%,-3.0314,0.965,0.043,isomerase activity
GO:0016874,ligase activity,3.54%,-6.7545,0.964,0.044,ligase activity
GO:0016829,lyase activity,3.60%,-5.4711,0.964,0.045,lyase activity
GO:0008201,heparin binding,0.03%,-4.5376,0.912,0.046,heparin binding
GO:0048037,cofactor binding,5.60%,-17.0701,0.924,0.138,heparin binding
GO:1901265,nucleoside phosphate binding,20.19%,-31.1818,0.877,0.209,heparin binding
GO:0097367,carbohydrate derivative binding,17.25%,-26.8327,0.912,0.196,heparin binding
GO:0043168,anion binding,20.94%,-30.6073,0.889,0.312,heparin binding
GO:0043167,ion binding,33.49%,-33.1805,0.901,0.262,heparin binding
GO:0043169,cation binding,15.60%,-8.4724,0.894,0.425,heparin binding
GO:0046872,metal ion binding,15.43%,-8.5058,0.891,0.631,heparin binding
GO:0008270,zinc ion binding,4.51%,-2.4381,0.908,0.129,heparin binding
GO:0003676,nucleic acid binding,21.23%,-13.8327,0.876,0.332,heparin binding
GO:0097159,organic cyclic compound binding,41.14%,-37.983,0.898,0.292,heparin binding
GO:1901363,heterocyclic compound binding,41.12%,-38.2233,0.898,0.13,heparin binding
GO:0043295,glutathione binding,0.01%,-2.8147,0.932,0.581,heparin binding
GO:0036094,small molecule binding,21.34%,-33.0531,0.909,0.214,heparin binding
GO:0016491,oxidoreductase activity,12.78%,-19.9508,0.96,0.056,oxidoreductase activity
GO:1901681,sulfur compound binding,0.55%,-6.5607,0.94,0.062,sulfur compound binding
GO:0019899,enzyme binding,0.62%,-22.8601,0.778,0.063,enzyme binding
GO:0051219,phosphoprotein binding,0.02%,-2.7646,0.824,0.438,enzyme binding
GO:0001968,fibronectin binding,0.00%,-2.8923,0.839,0.392,enzyme binding
GO:0008022,protein C-terminus binding,0.04%,-3.8664,0.818,0.457,enzyme binding
GO:0071813,lipoprotein particle binding,0.00%,-3.5029,0.927,0.607,enzyme binding
GO:0071814,protein-lipid complex binding,0.00%,-3.5029,0.927,0.607,enzyme binding
GO:0001948,glycoprotein binding,0.02%,-2.379,0.798,0.444,enzyme binding
GO:0043130,ubiquitin binding,0.06%,-4.5768,0.812,0.477,enzyme binding
GO:0050839,cell adhesion molecule binding,0.09%,-9.2381,0.807,0.492,enzyme binding
GO:0046983,protein dimerization activity,1.16%,-9.3028,0.767,0.634,enzyme binding
GO:0046982,protein heterodimerization activity,0.28%,-7.1965,0.789,0.544,enzyme binding
GO:0002020,protease binding,0.02%,-4.3872,0.806,0.676,enzyme binding
GO:0005114,type II transforming growth factor beta receptor binding,0.00%,-2.815,0.844,0.372,enzyme binding
GO:0019955,cytokine binding,0.02%,-2.7454,0.824,0.439,enzyme binding
GO:0030957,Tat protein binding,0.00%,-3.0717,0.847,0.367,enzyme binding
GO:0032403,protein complex binding,0.27%,-14.9355,0.763,0.543,enzyme binding
GO:0019900,kinase binding,0.16%,-9.7399,0.778,0.519,enzyme binding
GO:0019902,phosphatase binding,0.03%,-3.726,0.8,0.7,enzyme binding
GO:0019904,protein domain specific binding,0.15%,-6.7447,0.8,0.514,enzyme binding
GO:0019903,protein phosphatase binding,0.02%,-3.1093,0.804,0.683,enzyme binding
GO:0008092,cytoskeletal protein binding,0.71%,-15.2007,0.776,0.595,enzyme binding
GO:0019838,growth factor binding,0.03%,-4.0768,0.818,0.456,enzyme binding
GO:0003779,actin binding,0.33%,-10.1255,0.78,0.552,enzyme binding
GO:0031072,heat shock protein binding,0.09%,-3.4939,0.806,0.494,enzyme binding
GO:0017124,SH3 domain binding,0.01%,-2.6018,0.828,0.427,enzyme binding
GO:0051082,unfolded protein binding,0.49%,-2.5457,0.782,0.573,enzyme binding
GO:0044325,ion channel binding,0.02%,-2.4341,0.825,0.434,enzyme binding
GO:0042393,histone binding,0.09%,-2.3731,0.807,0.492,enzyme binding
GO:0045296,cadherin binding,0.06%,-7.8182,0.807,0.478,enzyme binding
GO:0005102,receptor binding,0.42%,-2.5997,0.784,0.565,enzyme binding
GO:0051117,ATPase binding,0.01%,-3.6173,0.81,0.66,enzyme binding
GO:0032182,ubiquitin-like protein binding,0.06%,-4.4413,0.811,0.48,enzyme binding
GO:0042802,identical protein binding,0.40%,-12.0088,0.785,0.563,enzyme binding
GO:0050431,transforming growth factor beta binding,0.00%,-2.5629,0.841,0.387,enzyme binding
GO:0019842,vitamin binding,0.63%,-5.9172,0.895,0.064,vitamin binding
GO:0048029,monosaccharide binding,0.11%,-3.7551,0.911,0.205,vitamin binding
GO:0070279,vitamin B6 binding,0.00%,-3.2259,0.941,0.121,vitamin binding
GO:0043531,ADP binding,0.18%,-3.1098,0.878,0.298,vitamin binding
GO:0019001,guanyl nucleotide binding,1.85%,-5.2396,0.864,0.382,vitamin binding
GO:0000166,nucleotide binding,20.19%,-31.1818,0.813,0.457,vitamin binding
GO:0005525,GTP binding,1.78%,-5.2941,0.841,0.267,vitamin binding
GO:0005539,glycosaminoglycan binding,0.11%,-4.9666,0.918,0.268,vitamin binding
GO:0030246,carbohydrate binding,0.72%,-4.1355,0.939,0.065,carbohydrate binding
GO:0044877,macromolecular complex binding,0.74%,-19.5331,0.939,0.065,macromolecular complex binding
GO:0008135,"translation factor activity, RNA binding",0.91%,-5.8794,0.885,0.066,"translation factor activity, RNA binding"
GO:0070180,large ribosomal subunit rRNA binding,0.07%,-3.2654,0.907,0.464,"translation factor activity, RNA binding"
GO:0019843,rRNA binding,1.41%,-5.1884,0.88,0.622,"translation factor activity, RNA binding"
GO:0000049,tRNA binding,0.67%,-5.1385,0.897,0.574,"translation factor activity, RNA binding"
GO:0030515,snoRNA binding,0.04%,-2.6439,0.911,0.44,"translation factor activity, RNA binding"
GO:0003743,translation initiation factor activity,0.41%,-2.5641,0.89,0.546,"translation factor activity, RNA binding"
GO:0003723,RNA binding,5.28%,-30.0835,0.886,0.32,"translation factor activity, RNA binding"
GO:0003729,mRNA binding,0.17%,-5.4949,0.896,0.502,"translation factor activity, RNA binding"
GO:0050662,coenzyme binding,3.47%,-11.6216,0.905,0.08,coenzyme binding
GO:0050661,NADP binding,0.59%,-2.6272,0.868,0.64,coenzyme binding
GO:0030170,pyridoxal phosphate binding,1.16%,-3.2259,0.881,0.696,coenzyme binding
GO:0016787,hydrolase activity,22.29%,-10.3936,0.959,0.08,hydrolase activity
GO:0016740,transferase activity,21.04%,-8.3799,0.959,0.093,transferase activity
