% WARNING - This is exported REVIGO data useful only for the specific purpose of constructing a TreeMap visualization.,,,,,,
% Do not use this table as a general list of non-redundant GO categories, as it sets an extremely permissive ,,,,,
% threshold to detect redundancies (c=0.10) and fill the 'representative' column, while normally c>=0.4 is recommended.,,,,,
% To export a reduced-redundancy set of GO terms, go to the Scatterplot & Table tab, and export to CSV from there.,,,,
term_ID,description,frequencyInDb,log10pvalue,uniqueness,dispensability,representative
GO:0044710,single-organism metabolic process,31.68%,-49.0405,0.87,0.335,cellular metabolism
GO:0044763,single-organism cellular process,27.54%,-53.3872,0.856,0.169,cellular metabolism
GO:0044238,primary metabolic process,53.74%,-42.3316,0.967,0.12,cellular metabolism
GO:0071704,organic substance metabolic process,58.36%,-48.219,0.967,0.119,cellular metabolism
GO:0072521,purine-containing compound metabolic process,2.67%,-10.9355,0.867,0.087,purine-containing compound metabolism
GO:0016072,rRNA metabolic process,0.97%,-10.0851,0.87,0.207,purine-containing compound metabolism
GO:1901564,organonitrogen compound metabolic process,17.89%,-43.1284,0.905,0.217,purine-containing compound metabolism
GO:1901566,organonitrogen compound biosynthetic process,14.06%,-25.3565,0.865,0.591,purine-containing compound metabolism
GO:0006139,nucleobase-containing compound metabolic process,26.55%,-17.091,0.828,0.484,purine-containing compound metabolism
GO:0043603,cellular amide metabolic process,6.88%,-28.7305,0.879,0.264,purine-containing compound metabolism
GO:0090304,nucleic acid metabolic process,21.45%,-9.1445,0.812,0.597,purine-containing compound metabolism
GO:0006518,peptide metabolic process,5.96%,-27.5157,0.851,0.439,purine-containing compound metabolism
GO:0006396,RNA processing,3.21%,-7.4711,0.853,0.453,purine-containing compound metabolism
GO:0072524,pyridine-containing compound metabolic process,1.35%,-7.9788,0.877,0.357,purine-containing compound metabolism
GO:0034641,cellular nitrogen compound metabolic process,34.14%,-29.3686,0.854,0.415,purine-containing compound metabolism
GO:0034660,ncRNA metabolic process,3.41%,-8.7212,0.853,0.385,purine-containing compound metabolism
GO:0006807,nitrogen compound metabolic process,38.74%,-31.0825,0.97,0.088,nitrogen compound metabolism
GO:0006732,coenzyme metabolic process,3.11%,-15.1175,0.911,0.089,coenzyme metabolism
GO:0044248,cellular catabolic process,3.27%,-16.9355,0.896,0.09,cellular catabolism
GO:0031329,regulation of cellular catabolic process,0.09%,-9.0137,0.793,0.555,cellular catabolism
GO:0009894,regulation of catabolic process,0.15%,-9.308,0.814,0.58,cellular catabolism
GO:0044723,single-organism carbohydrate metabolic process,2.46%,-8.0232,0.862,0.09,single-organism carbohydrate metabolism
GO:0055114,oxidation-reduction process,15.06%,-36.27,0.85,0.3,single-organism carbohydrate metabolism
GO:0006629,lipid metabolic process,3.52%,-7.9172,0.861,0.223,single-organism carbohydrate metabolism
GO:0044281,small molecule metabolic process,15.14%,-30.4672,0.849,0.415,single-organism carbohydrate metabolism
GO:1901576,organic substance biosynthetic process,30.37%,-27.327,0.899,0.093,organic substance biosynthesis
GO:0044711,single-organism biosynthetic process,10.86%,-12.3233,0.836,0.462,organic substance biosynthesis
GO:0044260,cellular macromolecule metabolic process,34.28%,-23.6126,0.854,0.198,organic substance biosynthesis
GO:0009059,macromolecule biosynthetic process,19.55%,-16.3969,0.887,0.558,organic substance biosynthesis
GO:0044249,cellular biosynthetic process,30.05%,-24.7399,0.855,0.658,organic substance biosynthesis
GO:0043170,macromolecule metabolic process,39.49%,-23.1811,0.934,0.224,organic substance biosynthesis
GO:0044271,cellular nitrogen compound biosynthetic process,22.50%,-15.6861,0.831,0.587,organic substance biosynthesis
GO:0046483,heterocycle metabolic process,29.66%,-18.5157,0.89,0.26,organic substance biosynthesis
GO:1901135,carbohydrate derivative metabolic process,6.32%,-17.3233,0.952,0.113,organic substance biosynthesis
GO:0006725,cellular aromatic compound metabolic process,29.63%,-19.153,0.89,0.26,organic substance biosynthesis
GO:0019538,protein metabolic process,18.49%,-21.0696,0.915,0.408,organic substance biosynthesis
GO:0010467,gene expression,19.67%,-13.6882,0.92,0.417,organic substance biosynthesis
GO:0043412,macromolecule modification,9.79%,-13.6038,0.929,0.331,organic substance biosynthesis
GO:1901360,organic cyclic compound metabolic process,30.32%,-19.5513,0.937,0.188,organic substance biosynthesis
GO:0005975,carbohydrate metabolic process,5.26%,-7.3904,0.947,0.108,organic substance biosynthesis
GO:0034645,cellular macromolecule biosynthetic process,19.29%,-15.098,0.835,0.555,organic substance biosynthesis
